Date,Open,High,Low,Close,Adj Close,Volume
2017-04-20,1152.650024,1166.000000,1145.474976,1162.750000,1068.453003,1268842
2017-04-21,1164.550049,1167.824951,1150.500000,1155.400024,1061.698975,1161154
2017-04-24,1150.000000,1169.824951,1141.250000,1164.050049,1069.647339,2000020
2017-04-25,1164.000000,1172.224976,1151.349976,1155.750000,1062.020508,3148710
2017-04-26,1170.000000,1171.974976,1151.525024,1155.175049,1061.492188,2187438
2017-04-27,1153.025024,1163.900024,1138.824951,1151.324951,1057.954224,5773186
2017-04-28,1147.000000,1149.375000,1134.000000,1136.574951,1044.400513,2540510
2017-05-02,1147.000000,1151.000000,1140.000000,1144.949951,1052.096436,2382696
2017-05-03,1147.500000,1172.500000,1134.250000,1168.650024,1073.874512,3514406
2017-05-04,1174.974976,1175.000000,1154.400024,1165.050049,1070.566406,2708208
2017-05-05,1154.000000,1166.250000,1151.250000,1160.250000,1066.155640,1682474
2017-05-08,1160.500000,1173.699951,1158.849976,1171.224976,1076.240479,1071782
2017-05-09,1171.974976,1180.500000,1166.275024,1176.275024,1080.880981,1790270
2017-05-10,1177.500000,1178.074951,1158.000000,1166.224976,1071.645996,1206388
2017-05-11,1173.650024,1180.000000,1161.375000,1174.724976,1079.456787,2071302
2017-05-12,1171.650024,1184.949951,1160.025024,1180.324951,1084.602539,2314446
2017-05-15,1187.550049,1188.974976,1170.800049,1182.550049,1086.646973,1817604
2017-05-16,1190.000000,1217.500000,1186.724976,1214.574951,1116.074585,3601026
2017-05-17,1216.750000,1230.375000,1211.500000,1227.675049,1128.112549,2876198
2017-05-18,1225.000000,1286.000000,1221.125000,1268.099976,1165.259033,5138594
2017-05-19,1268.099976,1270.275024,1243.000000,1253.574951,1151.911987,1786044
2017-05-22,1255.000000,1276.875000,1255.000000,1265.675049,1163.030762,1663940
2017-05-23,1266.599976,1282.074951,1257.000000,1260.849976,1158.597290,2748596
2017-05-24,1267.400024,1285.000000,1264.824951,1279.574951,1175.803467,2534548
2017-05-25,1288.500000,1318.775024,1284.000000,1312.300049,1205.874634,4094094
2017-05-26,1312.500000,1313.425049,1282.324951,1289.125000,1184.578857,1362550
2017-05-29,1289.500000,1298.250000,1282.000000,1286.425049,1182.097900,1749290
